Muestra,Na+,K+,Ca++,Mg++,Cl-,HCO3-,SO4--,Dureza total,CE,pH,Caudal,SDT,RAS
,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,N,uS/cm,adim,m3/seg,mg/L,adim
1,150,4,124,24,227,122,330,410,1330,7.8,40.972,930,3.2
2,121,3,119,17,241,110,332.1,368,1250,8.1,51.244,1300,2.8
3,146,3,124,20,220,116,312.2,392,1170,8.1,84.223,1100,3.2
4,133,4,155,5,308.5,122,342.44,407.1,1300,7.7,77.312,1200,2.9
5,178,4.2,142,2.7,262.4,125.1,288.26,365.2,1290,7.9,75.191,900,4.1
6,137.5,3.8,126.8,5.9,225.2,128.1,184.08,340,920,8.2,97.599,700,3.2
7,121.4,3.4,122.3,12.2,205.7,115.9,253.54,355,1090,8.17,81.803,800,2.8
8,133.6,3.45,111.3,17.8,218.1,109.8,173.3333333,351,1130,8.24,55.218,787,3.1
9,121.5,3.07,105.3,31.9,195,109.8,303,394,1110,8.19,64.215,600,2.7
10,174.1,4.2,142,17.6,251.8,119,341,427,1390,7.87,26.863,910,3.7
11,173.6036084,3.84576516,138.3852994,20.34773285,281.6818975,125.0471653,327.4640486,429.1030708,1316.0444,7.923175598,27.747,822.3661532,3.65402343
12,157.9,3.8,122,24,322.3,119,335.875,402.7,1474,7.93,24.811,600,3.4
13,170.1,3.07,130.3,22.5,255.3,131.2,319.92,418,1290,8.06,25.789,660,3.6
14,125.5,3.4,133.3,17,244.4,112.9,332.1,403,1240,7.97,62.274,700,2.7
15,145.8,3.5,121,18,237.6,128.1,168.7,376,1230,8.19,73.41,800,3.3
16,156.9,3.8,127,15.4,252.8,126.9,276.3,380,1350,8.2,73.959,902,3.5
17,137.7,3.8,122.2,13.7,267,131.2,205.9,362,1380,8.33,83.751,900,3.1
18,153.9,4.6,119.2,16.8,273,133.6,107,367,1390,8.3,89.215,890,3.5
19,121.5,3.8,133.4,16.3,293.6,126.3,137.1,400,1060,8.31,58.856,900,2.6
20,146,4,121,17,311,114,108,373,1320,8.1,56.747,900,3.3
21,190,5,158,22,325,159,224,484,1530,8.2,51.218,1000,3.8
22,202,4,173,21,382,149,303,517,1870,8,28.865,1100,3.9
23,215,4,167,21,400,151,230,504,1900,7.7,25.202,1300,4.2
24,149.8,3.5,155.5,20.5,323,121.1,236.5,472,1260,8.2,24.052,1200,3
25,178.2,3.8,141.7,19.5,307.1,114.4,218.6,434,1940,8.16,39.787,1260,3.7
26,153.9,3.8,138,22.2,284,117.1,217.4,436,1860,8.01,51.36,1050,3.2
27,174.1,4.2,150.9,14.7,216.9,102.7,398.3,437,1540,7.8,79.999,990,3.6
28,186.3,4.6,144.3,18.7,280.6,121.4,316.9,436,1720,7.9,71.033,1000,3.9
29,183.3,3.8,134.3,26.7,237.2,107.4,341.4,444,1460,7.9,84.06,1000,3.8
30,162,4.6,98.9,31,215.3,91.5,345.4,374,1380,7.9,93.979,950,3.6
31,162,4.2,101.2,42,226.2,92.8,290.6,425,1300,8.5,90.697,910,3.4
32,130,4,139,18,244,116,220,420,1380,8,80.547,850,2.8
33,146,4,125,18,171,114,336,388,1400,8.3,65.296,1000,3.2
34,142,6,137,19,199,124,333,421,1420,8.2,30.214,1000,3
35,215,4,140,24,266,143,386,451,1800,8.1,18.962,1200,4.4
36,199,4,168,19,261,124,401,499,1800,8.1,15.908,1200,3.9
37,158,4,123,29,212,132,307,423,1470,8,42.163,1000,3.3
38,158,4,147,24,195,128,351,467,1500,7.8,58.953,1000,3.2
39,166,4,141,18,222,127,283,426,1680,8,65.798,1000,3.5
40,142,5,129,21,211,113,303,406,1530,8,63.676,900,3.1
41,157,5,123,33,215,129,355,443,1630,8,69.741,1000,3.2
42,119,4,138,18,206,122,83,418,1210,8.4,87.535,900,2.5
43,130,3,152,9,185,139,224,416,1590,8.5,80.07,1000,2.8
44,150,4,136,13,206,109,192,392,1390,8.4,76.307,800,3.3
45,146,4,127,14,176,99,349,377,1430,8.3,55.11,1000,3.3
46,182,5,154,22,252,129,338,477,1780,8.5,17.4,1100,3.6
47,211,4,144,26,255,109,374,463,1800,8.5,17.197,1200,4.3
48,227,4,158,12,273,112,386,443,1810,8.3,13.944,1200,4.7
49,158,3,130,26,191,110,328,431,1400,8.3,42.753,900,3.3
50,142,4,122,27,199,103,305,415,1320,7.9,55.293,900,3
51,158,4,89,41,203,113,377,391,1330,8.5,64.297,1000,3.5
52,166,4,137,23,204,138,415,437,1410,8.5,51.751,1000,3.5
53,166,5,129,14,230,139,227,378,1340,8.2,60.49,1100,3.7
54,170,5,112,12,236,112,164,330,1430,8.6,65.805,1000,4.1
55,202,4,121,19,230,91,365,379,1440,8.6,74.593,874,4.5
56,154.7998042,4.033653658,140.3572233,19.20547301,242.7804402,123.4783674,269.8396684,429.8989748,1345.071663,8.066020166,59.243,995.4187805,3.244354062
57,200.4372335,4.327982939,149.8188385,23.14411755,260.608019,127.5500904,367.6800332,469.9150181,1788.968274,8.33861396,18.08,1160.174171,4.029070568
58,207,5,174,13,313,132,390,489,1850,8.2,12.571,1115,4.1
59,198,4,161,21,305,138,369,489,1730,8.2,14.589,1090,3.9
60,166,5,157,19,310,161,320,469,1650,8.2,13.289,1140,3.3
61,215,5,161,23,295,124,416,499,1650,8.3,11.15,1272,4.2
62,198,5,153,24,226,93,455,480,1620,8.2,55.763,1196,3.9
63,199,4,154,22,265,126,334,474,1530,8.2,65.572,1100,4
64,211,4,150,16,256,98,401,441,1520,8.2,58.435,1145,4.4
65,166,4,135,19,219,105,312,417,1560,8.2,65.147,993,3.5
66,162,4,126,6,186,137,221,340,1320,8,75.55,770,3.8
67,130,5,73,39,207,120,251,342,1330,8.3,71.728,766,3
